reward/env_0,reward/env_1,train/loss,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
102.73914700921087,,,,,,,,,,,,,,,,
,208.45717817885412,,,,,,,,,,,,,,,
94.11479276212756,,,,,,,,,,,,,,,,
,157.19475822109263,,,,,,,,,,,,,,,
-16.612982474591398,,,,,,,,,,,,,,,,
,151.98485433519426,9879.88671875,0.9470004439353943,0.017700851,0.07216796875,0.0003,-2.384185791015625e-07,390,0.2,-8.189467573165894,0.0006233873500605114,28436.705529785155,,,,
121.16249156900912,,,,,,,,,,,,,,,,
,-11.025237459758975,,,,,,,,,,,,,,,
-225.50082635572366,,,,,,,,,,,,,,,,
,94.66253110347512,,,,,,,,,,,,,,,
-47.898357291301295,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,162000,0.25,57.04,335.51343501
,172.6899441403248,,,,,,,,,,,,,,,
-340.4774908214905,,,,,,,,,,,,,,,,
,-257.69053209457695,,,,,,,,,,,,,,,
105.65444270210791,,,,,,,,,,,,,,,,
,22.916688800180516,4937.21435546875,0.9465665221214294,0.007419208,0.1326171875,0.0003,-2.384185791015625e-07,400,0.2,-8.183430463075638,0.0023540460926597005,22108.03648376465,,,,
274.15740207417673,,,,,,,,,,,,,,,,
,212.24405045773455,,,,,,,,,,,,,,,
26.569129313569107,,,,,,,,,,,,,,,,
,18.00694192070638,,,,,,,,,,,,,,,
23.199921562188543,,,,,,,,,,,,,,,,
,133.03606192471943,,,,,,,,,,,,,,,
-66.69827743682134,,,,,,,,,,,,,,,,
,-145.61769456311112,,,,,,,,,,,,,,,
151.709027478603,,,,,,,,,,,,,,,,
,146.60213988315957,13378.8017578125,0.9469296336174011,0.004523035,0.013671875,0.0003,-4.76837158203125e-07,410,0.2,-8.18190633058548,-0.002289169377763756,25265.142626953126,,,,
,,,,,,,,,,,,,168000,0.06,63.03,42.35336575000001
110.5399753777377,,,,,,,,,,,,,,,,
,-187.82527271192436,,,,,,,,,,,,,,,
109.98355030893597,,,,,,,,,,,,,,,,
,-21.462250751531744,,,,,,,,,,,,,,,
76.55919363170929,,,,,,,,,,,,,,,,
,17.695417683001555,,,,,,,,,,,,,,,
666.4731742368567,,,,,,,,,,,,,,,,
,-144.7166915416016,,,,,,,,,,,,,,,
63.89199291396862,,,,,,,,,,,,,,,,
,67.14131414741787,,,,,,,,,,,,,,,
562.204327335966,,14372.1767578125,0.9443087577819824,0.0061586746,0.0622802734375,0.0003,-1.1920928955078125e-07,420,0.2,-8.176825571060181,-0.0028944901714567095,23083.568713378907,,,,
,621.2152591396485,,,,,,,,,,,,,,,
189.49832509307802,,,,,,,,,,,,,,,,
,249.99692762323508,,,,,,,,,,,,,,,
203.25621546689737,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,174000,0.01,66.71,-44.72411429999999
,93.16040675540681,,,,,,,,,,,,,,,
-193.79353009445714,,,,,,,,,,,,,,,,
,512.398715294251,,,,,,,,,,,,,,,
-152.9412493319674,,,,,,,,,,,,,,,,
,683.6554261793833,,,,,,,,,,,,,,,
-36.13513667516315,,17217.322265625,0.944126307964325,0.0011435796,0.0,0.0003,-1.1920928955078125e-07,430,0.2,-8.165158301591873,-0.0012939390915562398,40120.212084960935,,,,
,479.0782131858318,,,,,,,,,,,,,,,
,-17.414051066319338,,,,,,,,,,,,,,,
316.0470953118134,,,,,,,,,,,,,,,,
,-28.898603160001425,,,,,,,,,,,,,,,
659.1056855292337,,,,,,,,,,,,,,,,
,-31.022645174709805,,,,,,,,,,,,,,,
-0.8590935803616588,,,,,,,,,,,,,,,,
,192.94093661036473,,,,,,,,,,,,,,,
